Title,State,Acceptance Criteria,Area Path,Iteration Path,Severity,Priority,Story Points,Value Area,Description,Parent
User Account Management,New,,Google,Amazon\Iteration 4,,1,,Business,,
Product Catalog,New,,Amazon,Amazon\Iteration 2,,3,,Business,,
Order Processing,New,,Amazon,Amazon\Iteration 1,,2,,Business,,
Customer Service,New,,Amazon,Amazon\Iteration 1,,3,,Business,,
Product Details,New,,Amazon,Amazon\Iteration 1,,3,,Business,,
Wishlist,New,,Amazon,Amazon\Iteration 1,,2,,Business,,
Inventory Management,New,,Amazon,Amazon\Iteration 1,,1,,Business,,
Payment Integration,New,,Amazon,Amazon\Iteration 2,,3,,Business,,
Shopping Cart,New,,Amazon,Amazon\Iteration 2,,3,,Business,,
Customer Support Chat,New,,Amazon,Amazon\Iteration 1,,2,,Business,,
Product Search,New,,Amazon,Amazon\Iteration 2,,1,,Business,,
Gift Cards,New,,Amazon,Amazon\Iteration 1,,2,,Business,,
Wishlist,New,,Amazon,Amazon\Iteration 2,,1,,Business,,
Password Recovery,New,,Amazon,Amazon\Iteration 1,,1,,Business,,
Order Tracking,New,,Amazon,Amazon\Iteration 1,,2,,Business,,
Shipping Options,New,,Amazon,Amazon\Iteration 2,,1,,Business,,
Product Search,New,,Amazon,Amazon\Iteration 3,,1,,Business,,
Recommendations,New,,Amazon,Amazon\Iteration 3,,1,,Business,,
User Login,New,,Amazon,Amazon\Iteration 3,,1,,Business,,
User Registration,New,,Amazon,Amazon\Iteration 3,,3,,Business,,
Order Tracking,New,,Amazon,Amazon\Iteration 1,,1,,Business,,
Gift Cards,New,,Amazon,Amazon\Iteration 2,,2,,Business,,
Checkout Process,New,,Amazon,Amazon\Iteration 2,,2,,Business,,
Customer Support Chat,New,,Amazon,Amazon\Iteration 3,,3,,Business,,
"As a user, I want to register so that I can track my orders",New,<div>Users should be able to register with valid credentials.</div><div>Users should be able to access their order history after registration.</div><div>Validation messages should be displayed for invalid inputs.</div>,Amazon,Amazon\Iteration 2,,2,11,Business,,
"As a user, I want to register so that I can buy products easily",New,<div>Users should be able to register with valid credentials.</div><div>Registered users should be able to add products to their cart and proceed to checkout.</div><div>Validation messages should be displayed for invalid inputs.</div>,Amazon,Amazon\Iteration 2,,1,6,Business,,
